x,y
3,0
5,0
7,1
11,2
13,2
17,3
19,1
23,1
29,2
31,2
37,2
41,3
43,2
47,1
53,2
59,1
61,2
67,2
71,2
73,1
79,3
83,1
89,4
97,3
101,3
103,3
107,1
109,3
113,3
127,3
131,2
137,4
139,3
149,5
151,3
157,3
163,4
167,2
173,4
179,5
181,4
191,3
193,3
197,4
199,3
211,4
223,5
227,3
229,6
233,5
239,5
241,4
251,3
257,4
263,3
269,5
271,4
277,6
281,7
283,5
293,5
307,7
311,4
313,3
317,6
331,6
337,6
347,2
349,5
353,6
359,5
367,7
373,6
379,4
383,4
389,6
397,6
401,9
409,7
419,5
421,4
431,4
433,6
439,5
443,4
449,5
457,6
461,8
463,6
467,4
479,3
487,7
491,7
499,8
503,5
509,7
521,8
523,4
541,7
547,6
557,10
563,6
569,9
571,10
577,7
587,6
593,8
599,6
601,4
607,5
613,8
617,10
619,8
631,8
641,9
643,8
647,6
653,9
659,8
661,5
673,9
677,10
683,6
691,7
701,9
709,10
719,7
727,7
733,9
739,10
743,8
751,9
757,8
761,11
769,9
773,9
787,8
797,10
809,9
811,10
821,9
823,9
827,7
829,8
839,7
853,9
857,9
859,9
863,10
877,10
881,8
883,10
887,8
907,11
911,11
919,9
929,13
937,12
941,12
947,10
953,7
967,11
971,11
977,11
983,8
991,10
997,11
1009,13
1013,10
1019,11
1021,11
1031,10
1033,10
1039,6
1049,15
1051,11
1061,14
1063,12
1069,8
1087,11
1091,9
1093,12
1097,9
1103,8
1109,12
1117,13
1123,11
1129,12
1151,10
1153,12
1163,10
1171,10
1181,12
1187,8
1193,12
1201,11
1213,12
1217,14
1223,9
1229,13
1231,14
1237,15
1249,11
1259,10
1277,11
1279,12
1283,9
1289,13
1291,13
1297,13
1301,14
1303,12
1307,12
1319,14
1321,16
1327,16
1361,13
1367,13
1373,12
1381,12
1399,15
1409,17
1423,11
1427,12
1429,14
1433,12
1439,14
1447,11
1451,10
1453,14
1459,14
1471,14
1481,16
1483,16
1487,7
1489,15
1493,14
1499,14
1511,15
1523,12
1531,13
1543,16
1549,14
1553,16
1559,16
1567,15
1571,11
1579,13
1583,14
1597,15
1601,12
1607,12
1609,12
1613,16
1619,13
1621,13
1627,13
1637,15
1657,15
1663,17
1667,14
1669,15
1693,16
1697,15
1699,14
1709,15
1721,19
1723,16
1733,17
1741,17
1747,18
1753,13
1759,15
1777,15
1783,15
1787,16
1789,15
1801,17
1811,14
1823,11
1831,14
1847,11
1861,16
1867,15
1871,16
1873,13
1877,18
1879,16
1889,16
1901,20
1907,13
1913,16
1931,12
1933,15
1949,17
1951,13
1973,20
1979,15
1987,17
1993,13
1997,17
1999,16
2003,17
2011,17
2017,14
2027,15
2029,16
2039,16
2053,14
2063,20
2069,15
2081,19
2083,20
2087,13
2089,16
2099,15
2111,16
2113,19
2129,18
2131,21
2137,16
2141,21
2143,20
2153,17
2161,17
2179,19
2203,16
2207,16
2213,20
2221,19
2237,23
2239,21
2243,14
2251,18
2267,15
2269,16
2273,21
2281,15
2287,19
2293,22
2297,16
2309,17
2311,19
2333,21
2339,18
2341,18
2347,19
2351,17
2357,18
2371,17
2377,21
2381,18
2383,21
2389,17
2393,21
2399,22
2411,16
2417,15
2423,19
2437,23
2441,17
2447,19
2459,17
2467,20
2473,20
2477,21
2503,20
2521,21
2531,24
2539,20
2543,17
2549,17
2551,18
2557,21
2579,16
2591,19
2593,20
2609,25
2617,21
2621,15
2633,24
2647,23
2657,24
2659,23
2663,18
2671,20
2677,24
2683,22
2687,15
2689,22
2693,22
2699,20
2707,21
2711,21
2713,16
2719,20
2729,21
2731,20
2741,25
2749,19
2753,20
2767,22
2777,20
2789,21
2791,22
2797,15
2801,21
2803,21
2819,18
2833,19
2837,18
2843,20
2851,24
2857,20
2861,19
2879,20
2887,22
2897,22
2903,18
2909,23
2917,21
2927,22
2939,19
2953,21
2957,22
2963,22
2969,21
2971,16
2999,20
3001,24
3011,22
3019,23
3023,19
3037,22
3041,23
3049,22
3061,22
3067,24
3079,23
3083,18
3089,28
3109,22
3119,21
3121,24
3137,24
3163,24
3167,18
3169,25
3181,21
3187,22
3191,25
3203,26
3209,29
3217,27
3221,26
3229,27
3251,23
3253,23
3257,30
3259,30
3271,24
3299,24
3301,26
3307,24
3313,20
3319,25
3323,27
3329,26
3331,22
3343,22
3347,25
3359,19
3361,28
3371,25
3373,22
3389,27
3391,21
3407,22
3413,24
3433,24
3449,28
3457,23
3461,24
3463,23
3467,20
3469,24
3491,23
3499,24
3511,29
3517,25
3527,21
3529,25
3533,23
3539,22
3541,25
3547,28
3557,23
3559,27
3571,27
3581,25
3583,26
3593,26
3607,31
3613,25
3617,26
3623,27
3631,22
3637,27
3643,24
3659,25
3671,26
3673,25
3677,24
3691,26
3697,26
3701,24
3709,26
3719,21
3727,24
3733,28
3739,32
3761,30
3767,25
3769,26
3779,22
3793,28
3797,26
3803,24
3821,27
3823,22
3833,29
3847,28
3851,31
3853,24
3863,21
3877,25
3881,29
3889,29
3907,32
3911,20
3917,29
3919,27
3923,23
3929,30
3931,21
3943,27
3947,18
3967,27
3989,28
4001,27
4003,27
4007,25
4013,31
4019,26
4021,26
4027,30
4049,31
4051,26
4057,30
4073,28
4079,24
4091,28
4093,27
4099,27
4111,27
4127,27
4129,33
4133,31
4139,25
4153,29
4157,31
4159,31
4177,28
4201,28
4211,31
4217,31
4219,29
4229,27
4231,22
4241,27
4243,23
4253,25
4259,26
4261,27
4271,30
4273,27
4283,22
4289,31
4297,26
4327,33
4337,31
4339,33
4349,30
4357,28
4363,29
4373,25
